"Subject"	"Electrode"	"Race"	"MeanAmp"
38	"PZ"	"Black"	5.60593039092055
38	"PZ"	"White"	9.64166196721312
39	"C3"	"Black"	9.24119644808743
39	"C3"	"White"	7.32398815657411
39	"C4"	"Black"	7.12400598057074
39	"C4"	"White"	5.04460960187354
39	"CP3"	"Black"	8.56313539769277
39	"CP3"	"White"	7.0721906323185
39	"CP4"	"Black"	6.74515373406193
39	"CP4"	"White"	4.47767055871529
39	"CPZ"	"Black"	9.68883934426229
39	"CPZ"	"White"	7.92158835731014
39	"CZ"	"Black"	9.44043148148148
39	"CZ"	"White"	8.06736607561058
39	"PZ"	"Black"	8.76104523375835
39	"PZ"	"White"	7.14508059551689
40	"C3"	"Black"	3.9499974824356
40	"C3"	"White"	3.28461998849583
40	"C4"	"Black"	4.16378691451991
40	"C4"	"White"	4.8178318377912
40	"CP3"	"Black"	3.93899183255269
40	"CP3"	"White"	4.0475811619212
40	"CP4"	"Black"	4.43280409836066
40	"CP4"	"White"	5.11268648259994
40	"CPZ"	"Black"	4.22176636416862
40	"CPZ"	"White"	4.99277526603394
40	"CZ"	"Black"	4.26893706088993
40	"CZ"	"White"	4.12322568306011
40	"PZ"	"Black"	4.37836103629977
40	"PZ"	"White"	5.53150560828301
41	"C3"	"Black"	9.78522166084386
41	"C3"	"White"	8.78391334087055
41	"C4"	"Black"	10.0455841977963
41	"C4"	"White"	7.83385644431882
41	"CP3"	"Black"	8.88310889545821
41	"CP3"	"White"	7.90857597512719
41	"CP4"	"Black"	10.1580391023918
41	"CP4"	"White"	7.39545336348219
41	"CPZ"	"Black"	12.7461070679925
41	"CPZ"	"White"	10.5704967213115
41	"CZ"	"Black"	12.5096065036281
41	"CZ"	"White"	11.0463794234031
41	"PZ"	"Black"	11.2521323031443
41	"PZ"	"White"	8.74790562464669
42	"C3"	"Black"	0.488210200364299
42	"C3"	"White"	0.68069631147541
42	"C4"	"Black"	1.80796575591985
42	"C4"	"White"	1.58807754098361
42	"CP3"	"Black"	0.17155966692688
42	"CP3"	"White"	0.174862923497268
42	"CP4"	"Black"	1.01450486599011
42	"CP4"	"White"	1.01070428961749
42	"CPZ"	"Black"	0.0104820192557891
42	"CPZ"	"White"	1.10847573770492
42	"CZ"	"Black"	1.27367816809784
42	"CZ"	"White"	1.44141603825137
42	"PZ"	"Black"	-0.144916497527973
42	"PZ"	"White"	0.821164644808743
43	"C3"	"Black"	11.6242995901639
43	"C3"	"White"	6.53212924378636
43	"C4"	"Black"	10.6973809562842
43	"C4"	"White"	5.24944685351666
43	"CP3"	"Black"	8.90330234972677
43	"CP3"	"White"	5.01769196192491
43	"CP4"	"Black"	7.93089295081967
43	"CP4"	"White"	3.98846636700159
43	"CPZ"	"Black"	12.8486608743169
43	"CPZ"	"White"	6.88632919090428
43	"CZ"	"Black"	15.3813127322404
43	"CZ"	"White"	7.49904516129032
43	"PZ"	"Black"	8.92907532786885
43	"PZ"	"White"	4.77009444738234
44	"C3"	"Black"	5.28140047593866
44	"C3"	"White"	4.83471502284332
44	"C4"	"Black"	3.30278939714437
44	"C4"	"White"	2.20640983606557
44	"CP3"	"Black"	4.01718059227922
44	"CP3"	"White"	3.44755498521903
44	"CP4"	"Black"	1.87729077207827
